case,image,classic_ok,gnn_ok,same_success,classic_RA,classic_Dec,classic_Roll,classic_FOV,classic_distortion,classic_RMSE,classic_Matches,classic_Prob,classic_T_extract_ms,classic_T_solve_ms,classic_T_total_ms,classic_wall_ms,classic_centroids_extracted,classic_centroids_used,classic_observed_tetrads_possible,classic_observed_tetrads_tested,classic_hash_code_combinations,classic_hash_indices_queried,classic_hash_table_entries_raw,classic_hash_table_entries_after_fov,classic_catalog_candidates_tested,classic_edge_ratio_valid_candidates,classic_full_geometric_checks,classic_solution_tetrad_number,classic_solution_hash_query_number,classic_solution_geometric_check_number,classic_error,gnn_RA,gnn_Dec,gnn_Roll,gnn_FOV,gnn_distortion,gnn_RMSE,gnn_Matches,gnn_Prob,gnn_model,gnn_anchor_attempts,gnn_anchor_hypotheses_max,gnn_sep_rejections,gnn_min_sep_skips,gnn_invalid_pair_skips,gnn_verification_rejections,gnn_verification_budget,gnn_verification_tests_performed,gnn_verification_budget_exhausted,gnn_per_verification_threshold,gnn_anchor_indices,gnn_anchor_star_ids,gnn_anchor_ranks,gnn_anchor_confidences,gnn_anchor_coarse_fov,gnn_T_extract_ms,gnn_T_solve_ms,gnn_T_load_ms,gnn_T_inference_ms,gnn_T_hypothesis_search_ms,gnn_T_attitude_ms,gnn_T_total_no_load_ms,gnn_wall_ms,gnn_error,delta_RA_deg,delta_Dec_deg,delta_Roll_deg,pointing_sep_deg
Observation_23_March_2026/imgObs_013_2_Object_25732_img3_201206,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_013_2_Object_25732_img3_201206/img_3_tiff_2026_03_23_20_12_06_459879_324750.tiff,True,True,True,130.1417842272363,63.24302880843573,150.68735176520647,16.955249208322403,0.009220137950572447,17.78304478819289,24.0,1.1101057573626384e-42,38.61159295774996,59.598298044875264,98.20989100262523,103.01781690213829,46.0,30.0,70.0,1.0,72.0,45.0,1672.0,1672.0,1672.0,114.0,103.0,1.0,45.0,103.0,,130.14596091708333,63.24055469458239,150.68040278248156,16.957354858741677,0.009033962486894198,13.950278262750595,24,1.166728717493111e-47,epoch_012,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,7;4,1731;1002,1;1,0.9929070472717285;0.9770530462265015,17.047607892087683,39.58165389485657,17.29236892424524,0.3184368833899498,15.467135002836585,1.3263390865176916,0.0005699694156646729,56.55558593571186,88.34050712175667,,0.0041766898470427805,0.002474113853338622,0.006948982724907182,0.0031076282936726026
Observation_23_March_2026/imgObs_014_2_Object_25732_img3_201301,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_014_2_Object_25732_img3_201301/img_3_tiff_2026_03_23_20_13_01_954406_063117.tiff,True,True,True,130.45934276136748,63.2451100590767,150.65893824888965,16.958221451079226,0.008348426859479188,20.862548605599173,24.0,1.1101057573626384e-42,38.17528602667153,35.932368016801775,74.1076540434733,77.81906495802104,40.0,30.0,70.0,1.0,72.0,45.0,1672.0,1672.0,1672.0,61.0,55.0,1.0,45.0,55.0,,130.4644983405865,63.24208176882316,150.65135224006943,16.958671274702066,0.008322724679229442,15.7623144458979,24,1.166728717493111e-47,epoch_012,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,7;4,1731;1002,1;1,0.9918621778488159;0.9791178703308105,17.05415974255485,39.57019397057593,17.2910678666085,0.3160268533974886,15.487303957343102,1.319207949563861,0.0005199108272790909,56.54523498378694,80.31153795309365,,0.0051555792190072225,0.003028290253539012,0.007586008820226198,0.003815459882478627
Observation_23_March_2026/imgObs_015_2_Object_25732_img4_201208,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_015_2_Object_25732_img4_201208/img_4_tiff_2026_03_23_20_12_08_197543_068921.tiff,True,True,True,130.097789057698,63.243394876277414,150.7410369906589,16.95626793003709,0.009052204894417458,21.409107821807183,21.0,3.8052861317873226e-34,38.546785013750196,61.83133693411946,100.37812194786966,104.39531004521996,43.0,30.0,70.0,1.0,72.0,45.0,1672.0,1672.0,1672.0,120.0,108.0,1.0,45.0,108.0,,130.10269266708136,63.23969107025918,150.73318472394254,16.95797524059874,0.008891182707526507,14.866428905646199,21,3.9993816614214844e-39,epoch_012,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,3;2,932;1082,1;1,0.8112587928771973;0.7779024243354797,17.03958283046701,39.57795398309827,17.302329186350107,0.3204471431672573,15.458625042811036,1.3530489522963762,0.0005501788109540939,56.55983602628112,87.17643818818033,,0.004903609383347884,0.0037038060182368326,0.007852266716355416,0.004311885140022247
Observation_23_March_2026/imgObs_016_2_Object_25732_img4_201303,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_016_2_Object_25732_img4_201303/img_4_tiff_2026_03_23_20_13_03_738288_695013.tiff,True,True,True,130.39832614765677,63.24839748755881,150.70072527273186,16.958224726874327,0.008728443895520957,20.920364958655334,25.0,1.1616603334566845e-45,38.00054802559316,41.37215204536915,79.37270007096231,110.36665306892246,33.0,30.0,70.0,1.0,72.0,45.0,1672.0,1672.0,1672.0,72.0,66.0,1.0,45.0,66.0,,130.40298720183713,63.246027623048015,150.69467987685823,16.95868268498685,0.008681595998380563,17.57300991262973,25,1.220912928365065e-50,epoch_012,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,7;4,1731;1002,1;1,0.9945479035377502;0.9794343709945679,17.026111485000747,39.106628159061074,17.2769189812243,0.31564803794026375,15.458553796634078,1.319538103416562,0.0005799811333417892,56.06789910234511,59.917316073551774,,0.0046610541803602246,0.002369864510797015,0.006045395873627513,0.003165190514997244
Observation_23_March_2026/imgObs_017_3_Object_27665_img1_201522,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_017_3_Object_27665_img1_201522/img_1_tiff_2026_03_23_20_15_22_418291_366117.tiff,True,False,False,111.82532353438697,-5.109578090562157,176.50684101317438,16.952137418491635,0.00983494492365336,19.181315318772715,14.0,2.7043947723570715e-16,38.21527399122715,8364.34679001104,8402.562064002268,8406.370997079648,36.0,30.0,70.0,20.0,8419.0,8417.0,106285.0,106285.0,106285.0,16345.0,16345.0,20.0,8417.0,16345.0,,,,,,,,,,epoch_012,65,11200,6814,0,2,65,65,65,True,1.5384615384615384e-05,,,,,,39.829581044614315,5455.103480024263,0.31757703982293606,15.538113890215755,5439.067539991811,,5494.615484029055,5523.446142906323,,,,,
Observation_23_March_2026/imgObs_018_3_Object_27665_img1_201619,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_018_3_Object_27665_img1_201619/img_1_tiff_2026_03_23_20_16_19_646715_650342.tiff,False,True,False,,,,,,,,,38.94819098059088,11284.187917015515,11323.136107996106,11327.159046079032,40.0,30.0,70.0,10.0,8790.0,8790.0,112546.0,112546.0,112546.0,22764.0,22764.0,,,,,112.05123686049124,-2.7213199760998594,175.72416346689914,16.953052806023496,0.009171646244364937,17.435342338996293,19,9.68874575817433e-34,epoch_012,1,11200,31,0,0,0,65,1,False,1.5384615384615384e-05,7;6,2628;1623,4;2,0.00033662046189419925;0.19350498914718628,16.984547798238395,40.22056912072003,41.81167506612837,0.31451694667339325,15.846171882003546,25.473766960203648,0.0005799811333417892,81.71772724017501,108.27545286156237,,,,,
Observation_23_March_2026/imgObs_019_3_Object_27665_img1_201751,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_019_3_Object_27665_img1_201751/img_1_tiff_2026_03_23_20_17_51_553699_312200.tiff,True,True,True,117.9774008347757,10.71548148136803,182.23350388363926,16.96748453118664,0.007498724032009746,22.245672111165177,21.0,3.8052861317873226e-34,38.5006699943915,3607.601339928806,3646.1020099231973,3649.805870023556,58.0,30.0,70.0,5.0,5396.0,4659.0,57912.0,57912.0,57912.0,7052.0,7049.0,5.0,4659.0,7049.0,,117.97779307223749,10.713809518348873,182.23226635751521,16.968447865167576,0.007424224341634263,21.40807077176633,21,3.9993816614214844e-39,epoch_012,24,11200,1505,200,1,23,65,24,False,1.5384615384615384e-05,7;1,1859;290,3;10,0.07361806184053421;0.020079204812645912,17.020484021924776,41.700814850628376,1217.760293977335,0.32339710742235184,15.61435405164957,1201.6570440027863,0.0005199108272790909,1259.1377117205411,1280.4424460045993,,0.00039223746179573027,0.0016719630191577295,0.0012375261240435975,0.0017158067867027156
Observation_23_March_2026/imgObs_020_3_Object_27665_img2_201524,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_020_3_Object_27665_img2_201524/img_2_tiff_2026_03_23_20_15_24_150954_748968.tiff,True,False,False,111.83416296932705,-5.107056779179043,176.50879663421725,16.952663861218486,0.009725479239262523,15.414874917269984,14.0,2.7043947723570715e-16,38.667093962430954,6566.053154994734,6604.720248957165,6608.441369025968,39.0,30.0,70.0,26.0,7487.0,7485.0,92075.0,92075.0,92075.0,12660.0,12660.0,26.0,7485.0,12660.0,,,,,,,,,,epoch_012,65,11200,5138,200,8,65,65,65,True,1.5384615384615384e-05,,,,,,39.27485691383481,4114.955845987424,0.31653791666030884,15.70429210551083,4098.768386989832,,4153.914164984599,4184.346419060603,,,,,
Observation_23_March_2026/imgObs_021_3_Object_27665_img2_201621,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_021_3_Object_27665_img2_201621/img_2_tiff_2026_03_23_20_16_21_380960_474502.tiff,True,True,True,112.08085506670537,-2.70859024719262,175.693935926895,16.93479204204816,0.01038611195942781,45.86658170569688,20.0,2.0028126749603278e-31,38.36257790680975,7440.266693010926,7478.629270917736,7482.161541003734,50.0,30.0,70.0,10.0,9442.0,8565.0,87435.0,87435.0,87435.0,14606.0,14603.0,10.0,8565.0,14603.0,,112.06924584604396,-2.7179305912468457,175.70447371631272,16.966926499582062,0.008657373243778597,21.146370938746006,20,2.104969772598042e-36,epoch_012,1,11200,43,0,0,0,65,1,False,1.5384615384615384e-05,5;6,2628;1851,5;4,0.0006375251687131822;0.011070124804973602,17.064401613934642,39.769281866028905,51.21783190406859,0.3125269431620836,15.682992991060019,35.051284125074744,0.0005299225449562073,90.67458682693541,115.8433179371059,,0.011609220661412678,0.009340344054225458,0.010537789417725207,0.014890064572663451
Observation_23_March_2026/imgObs_022_3_Object_27665_img2_201753,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_022_3_Object_27665_img2_201753/img_2_tiff_2026_03_23_20_17_53_287048_246746.tiff,True,True,True,117.98751798343727,10.714433024839089,182.20450401667065,16.96351612030078,0.007829800645302372,23.76258295173023,21.0,3.8052861317873226e-34,38.4577369550243,3650.2109210705385,3688.6686580255628,3718.461464974098,52.0,30.0,70.0,5.0,5396.0,4659.0,57912.0,57912.0,57912.0,7130.0,7127.0,5.0,4659.0,7127.0,,117.98653884144584,10.711622446830747,182.20419232239007,16.964350158975495,0.007863104733782284,21.280179423001005,21,3.9993816614214844e-39,epoch_012,24,11200,1505,200,1,23,65,24,False,1.5384615384615384e-05,7;1,1859;290,3;10,0.07430465519428253;0.018995216116309166,17.02058989983094,41.425418108701706,1219.0091130323708,0.3127770032733679,15.888551017269492,1202.6298760902137,0.0005699694156646729,1260.1217541377991,1263.652792898938,,0.0009791419914364496,0.0028105780083418352,0.0003116942805831968,0.0029706800983173706
