case,image,classic_ok,gnn_ok,same_success,classic_RA,classic_Dec,classic_Roll,classic_FOV,classic_distortion,classic_RMSE,classic_Matches,classic_Prob,classic_T_extract_ms,classic_T_solve_ms,classic_T_total_ms,classic_wall_ms,classic_centroids_extracted,classic_centroids_used,classic_observed_tetrads_possible,classic_observed_tetrads_tested,classic_hash_code_combinations,classic_hash_indices_queried,classic_hash_table_entries_raw,classic_hash_table_entries_after_fov,classic_catalog_candidates_tested,classic_edge_ratio_valid_candidates,classic_full_geometric_checks,classic_solution_tetrad_number,classic_solution_hash_query_number,classic_solution_geometric_check_number,classic_error,gnn_RA,gnn_Dec,gnn_Roll,gnn_FOV,gnn_distortion,gnn_RMSE,gnn_Matches,gnn_Prob,gnn_model,gnn_anchor_attempts,gnn_anchor_hypotheses_max,gnn_sep_rejections,gnn_min_sep_skips,gnn_invalid_pair_skips,gnn_verification_rejections,gnn_verification_budget,gnn_verification_tests_performed,gnn_verification_budget_exhausted,gnn_per_verification_threshold,gnn_anchor_indices,gnn_anchor_star_ids,gnn_anchor_ranks,gnn_anchor_confidences,gnn_anchor_coarse_fov,gnn_T_extract_ms,gnn_T_solve_ms,gnn_T_load_ms,gnn_T_inference_ms,gnn_T_hypothesis_search_ms,gnn_T_attitude_ms,gnn_T_total_no_load_ms,gnn_wall_ms,gnn_error,delta_RA_deg,delta_Dec_deg,delta_Roll_deg,pointing_sep_deg
Observation_23_March_2026/imgObs_095_Test_constellations_Exposure_100ms_img2_214928,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_095_Test_constellations_Exposure_100ms_img2_214928/img_2_tiff_2026_03_23_21_49_28_389118_578238.tiff,False,True,False,,,,,,,,,37.83488902263343,11627.439459087327,11665.27434810996,11691.24530092813,10.0,10.0,70.0,68.0,14399.0,14399.0,169709.0,169709.0,169709.0,23132.0,23132.0,,,,,175.11128023041974,25.422177168096596,225.23970508672986,16.952072675727536,0.006921164938926081,25.314064172555987,6,1.3584616344102387e-08,epoch_014,1,11200,104,0,0,0,65,1,False,1.5384615384615384e-05,3;6,1881;3917,1;5,0.2758329212665558;0.05142644792795181,17.055904906367754,38.71474810875952,98.52608200162649,0.3213668242096901,16.013320069760084,82.01814792118967,0.0005401670932769775,136.91946328617632,162.8920768853277,,,,,
Observation_23_March_2026/imgObs_096_Test_constellations_Exposure_100ms_img2_215104,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_096_Test_constellations_Exposure_100ms_img2_215104/img_2_tiff_2026_03_23_21_51_04_019618_806064.tiff,True,True,True,115.22634508927928,27.658036229556483,122.79689246038292,16.951266776128623,0.009123693010927773,25.07043812190583,15.0,4.660632550305686e-21,38.05015701800585,2.578865038231015,40.62902205623686,44.01031997986138,25.0,25.0,70.0,1.0,12.0,7.0,134.0,134.0,134.0,1.0,1.0,1.0,7.0,1.0,,115.23127808182218,27.65885745703023,122.80044681105971,16.954635928677043,0.008472164318824325,22.986493833599624,18,3.026977470725814e-34,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,6;4,590;535,1;1,0.9982191324234009;0.9960774183273315,17.066277419866328,39.351202081888914,17.786571057513356,0.3294069319963455,15.958759933710098,1.3216761872172356,0.0005499459803104401,56.808366207405925,68.14939505420625,,0.004932992542904913,0.0008212274737466885,0.0035543506767936606,0.004445808675477535
Observation_23_March_2026/imgObs_097_Test_constellations_Exposure_100ms_img3_214928,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_097_Test_constellations_Exposure_100ms_img3_214928/img_3_tiff_2026_03_23_21_49_28_656859_768114.tiff,True,True,True,175.10718440660776,25.413839126955434,225.26247482099075,16.95643248277191,0.00532987073134994,46.63717073100635,6.0,0.00017686980899673835,37.68911107908934,1293.528963928111,1331.2180750072002,1335.0841279607266,8.0,8.0,70.0,5.0,2688.0,1460.0,20689.0,20689.0,20689.0,2503.0,2495.0,5.0,1460.0,2495.0,,175.11366725062317,25.423297273153075,225.2535958856368,16.95620841490988,0.0068136294989052625,27.668969370072713,6,1.8589137480403563e-09,epoch_014,24,11200,673,0,4,23,65,24,False,1.5384615384615384e-05,5;1,1881;907,1;1,0.2427581548690796;0.238643079996109,17.054470509605494,38.602299988269806,557.9734551720321,0.32423599623143673,15.992459142580628,541.4877398870885,0.0005499459803104401,596.2515191640705,617.982727009803,,0.006482844015408773,0.00945814619764107,0.008878935353948236,0.011123885888771364
Observation_23_March_2026/imgObs_098_Test_constellations_Exposure_100ms_img3_215104,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_098_Test_constellations_Exposure_100ms_img3_215104/img_3_tiff_2026_03_23_21_51_04_236778_203736.tiff,True,True,True,115.23376671771703,27.649586053078842,122.79392926645276,16.958365912128006,0.00841260838593453,28.889844302818698,18.0,1.7826396930082323e-32,38.073407020419836,4.995282972231507,43.06868999265134,46.779413940384984,21.0,21.0,70.0,1.0,32.0,30.0,552.0,552.0,552.0,1.0,1.0,1.0,30.0,1.0,,115.23846597780667,27.65137855748187,122.79104500545695,16.95430977343542,0.00889414475799537,25.946883696621722,19,1.1594625603910444e-40,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,7;4,590;387,1;1,0.997664213180542;0.9800546765327454,17.05551105331313,39.88415584899485,17.90687907487154,0.3229358699172735,16.094638966023922,1.3138658832758665,0.0005201436579227448,57.46809905394912,82.24016521126032,,0.0046992600896373915,0.001792504403027806,0.0028842609958132925,0.004532124694331538
Observation_23_March_2026/imgObs_099_Test_constellations_Exposure_100ms_img4_214929,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_099_Test_constellations_Exposure_100ms_img4_214929/img_4_tiff_2026_03_23_21_49_29_039257_673092.tiff,False,True,False,,,,,,,,,37.857089075259864,6618.16795100458,6656.0250400798395,6660.113490070216,11.0,11.0,70.0,70.0,22761.0,22761.0,136629.0,136629.0,136629.0,11961.0,11961.0,,,,,175.11617846123264,25.421031357112,225.26103189517883,16.96421099912993,0.007067050729577566,24.92665212436246,7,4.809824161151491e-11,epoch_014,24,11200,673,0,6,23,65,24,False,1.5384615384615384e-05,3;2,1881;854,1;3,0.24015028774738312;0.09353626519441605,17.0100735839074,39.37413217499852,557.4929299764335,0.32531702890992165,16.04158990085125,540.9561661072075,0.0005499459803104401,596.5417451225221,609.1651399619877,,,,,
Observation_23_March_2026/imgObs_100_Test_constellations_Exposure_100ms_img4_215104,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_100_Test_constellations_Exposure_100ms_img4_215104/img_4_tiff_2026_03_23_21_51_04_453516_295828.tiff,True,True,True,115.24635882678169,27.64810806244879,122.82260959309215,16.95834988392913,0.009319277741993566,30.30500484077586,16.0,3.883675987451995e-27,38.9718369115144,4.976821946911514,43.948658858425915,47.70502506289631,20.0,20.0,70.0,1.0,32.0,30.0,552.0,552.0,552.0,1.0,1.0,1.0,30.0,1.0,,115.24675179181204,27.641404990175847,122.81951413572608,16.957275578881674,0.009444620690539767,18.3929413700893,16,4.081769934032016e-32,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,4;3,387;535,1;1,0.9805479049682617;0.9753856658935547,17.06897675231086,39.11127499304712,17.805390059947968,0.33143581822514534,15.993879875168204,1.3151359744369984,0.0005799811333417892,56.58522923476994,60.25834893807769,,0.0003929650303575727,0.0067030722729448655,0.0030954573660721962,0.006712105117001962
Observation_23_March_2026/imgObs_101_Test_constellations_Exposure_1430ms_img1_212659,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_101_Test_constellations_Exposure_1430ms_img1_212659/img_1_tiff_2026_03_23_21_26_59_459711_040450.tiff,True,True,True,111.65286866419159,28.581511831448246,312.6204183467645,16.959937320461822,0.008535205677022912,33.79280292847195,22.0,6.296214782227928e-37,38.93757704645395,6.638263002969325,45.57584004942328,49.31775596924126,72.0,30.0,70.0,1.0,18.0,9.0,106.0,106.0,106.0,9.0,9.0,1.0,9.0,9.0,,111.65440760062744,28.574676579850212,312.62145831214696,16.960229004540796,0.007969020907040799,23.17807546110417,22,6.617364651258399e-42,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,6;5,590;387,1;1,0.9844002723693848;0.9762687683105469,17.069435004841672,41.25187103636563,17.787810880690813,0.3164270892739296,15.951829962432384,1.3516549952328205,0.0005499459803104401,58.72325482778251,79.37200600281358,,0.0015389364358497915,0.006835251598033665,0.0010399653824606503,0.006967571877985875
Observation_23_March_2026/imgObs_102_Test_constellations_Exposure_1430ms_img1_213029,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_102_Test_constellations_Exposure_1430ms_img1_213029/img_1_tiff_2026_03_23_21_30_29_239291_541404.tiff,True,True,True,176.22630100155203,50.5030056879336,98.39904127676877,16.968182514600127,0.007516194909842143,19.78546627783527,25.0,1.1616603334566845e-45,38.86001801583916,59.954412980005145,98.8144309958443,102.5927469599992,45.0,30.0,70.0,1.0,288.0,115.0,1412.0,1412.0,1412.0,104.0,101.0,1.0,115.0,101.0,,176.22482032651138,50.50444098838863,98.40113993163818,16.968721476977418,0.007420187738870651,18.902890438918572,24,1.166728717493111e-47,epoch_014,1,11200,0,0,0,0,65,1,False,1.5384615384615384e-05,6;7,1907;1892,1;1,0.7696676850318909;0.7191798090934753,17.04982252903604,40.53278896026313,17.792921047657728,0.3189858980476856,15.961969969794154,1.3444360811263323,0.0006100162863731384,58.006724109873176,62.37336713820696,,0.001480675040653523,0.0014353004550287096,0.002098654869413963,0.0017166776834703196
Observation_23_March_2026/imgObs_103_Test_constellations_Exposure_1430ms_img1_213514,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_103_Test_constellations_Exposure_1430ms_img1_213514/img_1_tiff_2026_03_23_21_35_14_159490_685972.tiff,True,False,False,91.33584368896119,5.427753849564998,216.4267077072683,16.898923621479952,0.02943135023427545,153.25481572602698,11.0,1.6455126155758918e-09,40.49254895653576,404.28080898709595,444.7733579436317,448.52040498517454,87.0,30.0,70.0,31.0,2726.0,2714.0,10849.0,10849.0,10849.0,606.0,605.0,31.0,2714.0,605.0,,,,,,,,,,epoch_014,65,11200,2464,100,8,65,65,65,True,1.5384615384615384e-05,,,,,,42.15028113685548,1994.2765969317406,0.3238359931856394,15.882811043411493,1977.9055209364742,,2036.1030420754105,2039.831822970882,,,,,
Observation_23_March_2026/imgObs_104_Test_constellations_Exposure_1430ms_img1_214011,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_104_Test_constellations_Exposure_1430ms_img1_214011/img_1_tiff_2026_03_23_21_40_11_603085_109720.tiff,True,True,True,196.8067770962965,63.952686135253636,90.40771915170055,16.96025672305574,0.009103870052956507,21.02385763521338,22.0,6.296214782227928e-37,38.95352710969746,16.162840998731554,55.116368108429015,79.74826195277274,59.0,30.0,70.0,8.0,327.0,278.0,481.0,481.0,481.0,12.0,11.0,8.0,278.0,11.0,,196.80415115746206,63.95013944684864,90.40991598329751,16.96108210617318,0.00895219179164533,18.50480543133815,22,6.617364651258399e-42,epoch_014,31,11200,1754,100,3,30,65,31,False,1.5384615384615384e-05,6;1,1743;338,9;8,0.022542569786310196;0.015881378203630447,16.990338303097047,40.722785983234644,1399.4314239826053,0.3273370675742626,15.94209112226963,1382.9933791421354,0.0005499459803104401,1439.8268728982657,1462.1898969635367,,0.00262593883445561,0.00254668840499761,0.0021968315969616015,0.0027955941643219434
