case,image,classic_ok,gnn_ok,same_success,classic_RA,classic_Dec,classic_Roll,classic_FOV,classic_distortion,classic_RMSE,classic_Matches,classic_Prob,classic_T_extract_ms,classic_T_solve_ms,classic_T_total_ms,classic_wall_ms,classic_centroids_extracted,classic_centroids_used,classic_observed_tetrads_possible,classic_observed_tetrads_tested,classic_hash_code_combinations,classic_hash_indices_queried,classic_hash_table_entries_raw,classic_hash_table_entries_after_fov,classic_catalog_candidates_tested,classic_edge_ratio_valid_candidates,classic_full_geometric_checks,classic_solution_tetrad_number,classic_solution_hash_query_number,classic_solution_geometric_check_number,classic_error,gnn_RA,gnn_Dec,gnn_Roll,gnn_FOV,gnn_distortion,gnn_RMSE,gnn_Matches,gnn_Prob,gnn_model,gnn_anchor_attempts,gnn_anchor_hypotheses_max,gnn_sep_rejections,gnn_min_sep_skips,gnn_invalid_pair_skips,gnn_verification_rejections,gnn_anchor_indices,gnn_anchor_star_ids,gnn_anchor_ranks,gnn_anchor_confidences,gnn_anchor_coarse_fov,gnn_T_extract_ms,gnn_T_solve_ms,gnn_T_load_ms,gnn_T_inference_ms,gnn_T_hypothesis_search_ms,gnn_T_attitude_ms,gnn_T_total_no_load_ms,gnn_wall_ms,gnn_error,delta_RA_deg,delta_Dec_deg,delta_Roll_deg,pointing_sep_deg
Observation_23_March_2026/imgObs_103_Test_constellations_Exposure_1430ms_img1_213514,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_103_Test_constellations_Exposure_1430ms_img1_213514/img_1_tiff_2026_03_23_21_35_14_159490_685972.tiff,True,False,False,91.33584368896119,5.427753849564998,216.4267077072683,16.898923621479952,0.02943135023427545,153.25481572602698,11,1.6455126155758918e-09,40.49254895653576,404.28080898709595,444.7733579436317,448.52040498517454,87,30,70,31,2726,2714,10849,10849,10849,606,605,31,2714,605,,,,,,,,,,1438152_20260612_005826,0,216,180,36,0,0,,,,,,41.36172903236002,172.55594406742603,0.3484159242361784,29.706315021030605,142.29045493993908,,213.56925717554986,214.90756096318364,,,,,
Observation_23_March_2026/imgObs_104_Test_constellations_Exposure_1430ms_img1_214011,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_104_Test_constellations_Exposure_1430ms_img1_214011/img_1_tiff_2026_03_23_21_40_11_603085_109720.tiff,True,False,False,196.8067770962965,63.952686135253636,90.40771915170055,16.96025672305574,0.009103870052956507,21.02385763521338,22,6.296214782227928e-37,38.95352710969746,16.162840998731554,55.116368108429015,79.74826195277274,59,30,70,8,327,278,481,481,481,12,11,8,278,11,,,,,,,,,,1438152_20260612_005826,4,216,212,0,0,4,,,,,,40.058423997834325,202.63986405916512,0.35239593125879765,29.759894008748233,172.32626595068723,,242.34589212574065,243.689666967839,,,,,
Observation_23_March_2026/imgObs_105_Test_constellations_Exposure_1430ms_img2_212702,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_105_Test_constellations_Exposure_1430ms_img2_212702/img_2_tiff_2026_03_23_21_27_02_592894_486372.tiff,True,True,True,111.6536567529082,28.609598726456515,312.62789894543533,17.014133277394087,0.005810658667918461,124.81686300187536,19,9.218537511343695e-29,39.42140098661184,3.123984090052545,42.54538507666439,55.129909073002636,74,30,70,1,24,15,180,180,180,1,1,1,15,1,,111.66671423587285,28.574551425524433,312.6190912965971,16.9588173298708,0.008156320043726684,23.40625608355392,22,2.1990011764181757e-41,1438152_20260612_005826,1,216,0,0,0,0,5;6,535;590,1;1,0.9905135631561279;0.9838939905166626,17.074605925714934,41.21039097663015,31.70138190034777,0.3578159958124161,29.742763959802687,1.381544047035277,0.0005909241735935211,72.5539568811655,73.91547004226595,,0.013057482964640599,0.035047300932081527,0.008807648838228488,0.0368749521027271
Observation_23_March_2026/imgObs_106_Test_constellations_Exposure_1430ms_img2_213032,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_106_Test_constellations_Exposure_1430ms_img2_213032/img_2_tiff_2026_03_23_21_30_32_366610_387596.tiff,True,True,True,176.23920714076445,50.508413341451245,98.40246901596868,16.967867362020662,0.007529801531444719,17.98032735159512,25,1.1616603334566845e-45,40.08906404487789,59.14922198280692,99.23828602768481,103.28102996572852,44,30,70,1,288,115,1412,1412,1412,102,99,1,115,99,,176.23824167286378,50.509568004366386,98.4031452079677,16.968322334719172,0.007451382126733743,17.37074499161501,25,4.057187577336216e-50,1438152_20260612_005826,1,216,0,0,0,0,5;4,1907;1093,1;1,0.8206116557121277;0.7599660754203796,17.015250078794562,39.431681972928345,31.666002003476024,0.35991508048027754,29.70566402655095,1.38626410625875,0.0005600741133093834,70.73776889592409,72.07254192326218,,0.0009654679006700917,0.0011546629151411025,0.000676191999019693,0.0013077605192378544
Observation_23_March_2026/imgObs_107_Test_constellations_Exposure_1430ms_img2_213517,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_107_Test_constellations_Exposure_1430ms_img2_213517/img_2_tiff_2026_03_23_21_35_17_287670_862032.tiff,True,False,False,91.30292030398225,5.343813643156808,216.2979053101775,16.971158583888478,0.008105880592800407,44.54406814121111,16,4.112971247381592e-21,41.47984797600657,140.29860799200833,181.7784559680149,185.43024396058172,100,30,70,1,304,167,2413,2413,2413,264,261,1,167,261,,,,,,,,,,1438152_20260612_005826,8,216,208,0,0,8,,,,,,42.03722102101892,201.5176370041445,0.35764602944254875,29.705654946155846,171.24780896119773,,243.19721199572086,244.56892698071897,,,,,
Observation_23_March_2026/imgObs_108_Test_constellations_Exposure_1430ms_img2_214014,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_108_Test_constellations_Exposure_1430ms_img2_214014/img_2_tiff_2026_03_23_21_40_14_733423_810279.tiff,True,False,False,196.81887663601142,63.95371545813802,90.40214862543647,16.960910807428757,0.008714260474802237,23.65103259710488,22,6.296214782227928e-37,38.674150011502206,19.420343916863203,58.09449392836541,61.975930002518,62,30,70,9,311,262,627,627,627,12,11,9,262,11,,,,,,,,,,1438152_20260612_005826,0,216,216,0,0,0,,,,,,40.22823297418654,201.59189600963145,0.3533560084179044,29.720964026637375,171.31181806325912,,241.4667729754001,242.76665807701647,,,,,
Observation_23_March_2026/imgObs_109_Test_constellations_Exposure_1430ms_img3_212705,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_109_Test_constellations_Exposure_1430ms_img3_212705/img_3_tiff_2026_03_23_21_27_05_721323_068806.tiff,True,True,True,111.68096379733332,28.577177462723036,312.61016781666757,16.96431273713669,0.007207800128836224,24.167976833265538,22,6.296214782227928e-37,38.81570801604539,26.39609295874834,65.21180097479373,93.5730419587344,76,30,70,1,90,57,1156,1156,1156,39,38,1,57,38,,111.68006987937999,28.578254205886083,312.61069394966194,16.96438704028884,0.007274536398773123,23.7026579403065,22,2.1990011764181757e-41,1438152_20260612_005826,1,216,0,0,0,0,4;5,306;535,1;1,0.9868776798248291;0.9718216061592102,17.023530079098716,40.93406395986676,31.673870980739594,0.3601050702854991,29.717794968746603,1.3911830028519034,0.000600004568696022,72.24782987032086,73.54401494376361,,0.0008939179533342667,0.001076743163046956,0.000526132994366435,0.0013325235088797417
Observation_23_March_2026/imgObs_110_Test_constellations_Exposure_1430ms_img3_213035,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_110_Test_constellations_Exposure_1430ms_img3_213035/img_3_tiff_2026_03_23_21_30_35_498750_985278.tiff,True,True,True,176.25122102307404,50.50728289916018,98.40649016482608,16.967688223491947,0.007686422426979983,20.3812111821104,27,7.360367202278397e-52,39.6432300331071,59.53342793509364,99.17665796820074,129.08082001376897,45,30,70,1,288,115,1412,1412,1412,103,100,1,115,100,,176.2527127230921,50.508897271844184,98.40642314969773,16.967733448976823,0.007715116584130341,19.456890140800272,26,3.560167438531919e-53,1438152_20260612_005826,1,216,0,0,0,0,5;4,1907;1093,1;1,0.8193086981773376;0.7589375376701355,17.022536981268612,40.09406396653503,31.701851054094732,0.35414600279182196,29.750913963653147,1.389774028211832,0.0005600741133093834,71.44176901783794,72.79172400012612,,0.0014917000180503237,0.001614372684002774,6.70151283514997e-05,0.0018724807429766953
Observation_23_March_2026/imgObs_111_Test_constellations_Exposure_1430ms_img3_213520,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_111_Test_constellations_Exposure_1430ms_img3_213520/img_3_tiff_2026_03_23_21_35_20_418746_039755.tiff,True,False,False,91.35295561091164,5.427337601485285,216.32697426805964,16.96026871036753,0.007808466175450826,30.812493079736278,12,1.0389073029707829e-11,39.03171606361866,4639.67176200822,4678.703478071839,4682.555504026823,76,30,70,24,6202,6190,81846,81846,81846,8701,8700,24,6190,8700,,,,,,,,,,1438152_20260612_005826,4,216,208,0,4,4,,,,,,40.969004039652646,198.8135379506275,0.3555660368874669,29.69443507026881,168.54705102741718,,239.42697595339268,240.7899700338021,,,,,
Observation_23_March_2026/imgObs_112_Test_constellations_Exposure_1430ms_img3_214017,/projects/F202603931CPCAA0/goncalo/tetra4/imgs_extras/imgs_teste/Observation_23_March_2026/imgObs_112_Test_constellations_Exposure_1430ms_img3_214017/img_3_tiff_2026_03_23_21_40_17_863743_352512.tiff,True,False,False,196.83611573212738,63.95463501441072,90.40825638806263,16.96118821785877,0.008650452281423887,26.389739795735387,22,6.296214782227928e-37,38.558922009542584,18.89649999793619,57.455422007478774,61.16676889359951,60,30,70,9,311,262,627,627,627,11,10,9,262,10,,,,,,,,,,1438152_20260612_005826,0,216,216,0,0,0,,,,,,40.263582020998,202.34630699269474,0.35676604602485895,29.79318401776254,171.98733007535338,,242.25312296766788,243.57194802723825,,,,,
